SourceName,DestName
PolicyNumber,policynumber
EffectiveDate,effectivedate
ExpirationDate,expirationdate
annual_premium,annual_premium
Term,term
Insured,null
`Insured`.`InsuredAddress`,insuredaddresses
`Insured`.`InsuredAnnualRevenue`,insuredannualrevenue
`Insured`.`InsuredCompanyName`,insuredcompanyname
`Insured`.`InsuredContactCellPhone`,insuredcellphone
`Insured`.`InsuredContactEmail`,insuredcontactemails
`Insured`.`InsuredCustomerNumber`,customernumber
`Insured`.`InsuredEIN`,insuredtin
`Insured`.`InsuredEmployeeTier`,insuredemployeetier
`Insured`.`InsuredNumberOfEmployees`,insurednumberofemployees
`Insured`.`InsuredIndustry`,insuredindustry
`Insured`.`InsuredSector`,insuredsector
LineOfBusiness,lineofbusiness
LineOfBusinessCode,lineofbusinesscode
NewOrRenewal,neworrenewal
DistributionChannel,distributionchannel
Producer,producer
`Producer`.`producer_name`,producername
`Producer`.`profit_center_id`,producer_profit_center_code
