SourceName,DestName
StartDate,StartDate
EndDate,EndDate
PolicyNumber,PolicyNumber
PhoneNumber,PhoneNumber
TIN,EIN
CustomerNo,CustomerNo
CompanyCode,CompanyCode
EffDate,EffectiveDate
ExpirationDate,ExpirationDate
InsuredCompanyName,InsuredCompanyName
LineOfBusiness,LineOfBusiness
LineOfBusinessCode,LOBCode
NewOrRenewal,NewOrRenewal
InsuredIndustry,InsuredIndustry
InsuredSector,InsuredSector
DistributionChannel,DistributionChannel
InsuredCity,InsuredCity
InsuredStateCode,InsuredStateCode
InsuredContactCellPhone,InsuredContactCellPhone
InsuredContactEmail,InsuredContactEmail
InsuredNumberOfEmployees,InsuredNumberOfEmployees
InsuredEmployeeTier,InsuredEmployeeTier
InsuredAnnualRevenue,InsuredAnnualRevenue
ProducerProfitCenterID,Null
Territory,Territory
ProducerCode,ProducerCode
AgentName,AgentName
AccidentYearTotalIncurredAmount,AccidentYearTotalIncurredAmount
PolicyInForce,PolicyInForce
ExpiringPolicy,ExpiringPolicy
ExpiringPremiumAmount,ExpiringPremiumAmount
WrittenPremiumAmount,WrittenPremiumAmount
WrittenPolicy,WrittenPolicy
EarnedPremium,EarnedPremium
GenerationDate,GenerationDate
