SourceName,DestName,Threshold,Scorer
PolicyNumber,PolicyNumber
EffectiveDate,EffectiveDate
Term,Term
ExpirationDate,ExpirationDate
InsuredCustomerNumber,InsuredCustomerNumber
InsuredCompanyName,InsuredCompanyName
LineOfBusiness,LineOfBusiness
LineOfBusinessCode,LOBCode
NewRenewal,NewOrRenewal,90,ratio
InsuredIndustry,InsuredIndustry
InsuredSector,InsuredSector
DistributionChannel,DistributionChannel
InsuredEIN,InsuredEIN
InsuredCity,InsuredCity
InsuredStateCode,InsuredStateCode
InsuredContactCellPhone,InsuredContactCellPhone
InsuredContactEmail,InsuredContactEmail
InsuredNumberOfEmployees,InsuredNumberOfEmployees
InsuredEmployeeTier,InsuredEmployeeTier
InsuredAnnualRevenue,InsuredAnnualRevenue
ProducerProfitCenterID,Null
Territory,Territory
ProducerCode,ProducerCode
AgentName,AgentName
WrittenPremiumAmount,WrittenPremiumAmount
GenerationDate,GenerationDate
