SourceName,DestName
claimno,claimno
policyid,policyid
firstname,firstname
lastname,lastname
claimsreporteddate,claimsreporteddate
policyeffectivedate,policyeffectivedate
claimstatus,claimstatus
claimdescription,claimdescription
adjudicationstatus,adjudicationstatus
adjudicationdescription,adjudicationdescription
EOBgenerated,EOBgenerated
claimamount,claimamount
paidamount,paidamount
adjudicationdate,adjudicationdate
paymentdate,paymentdate
beneficiaryname,beneficiaryname
beneficiaryrelationship,beneficiaryrelationship
beneficiarypct,beneficiarypct
checkno,checkno
lastupdated,lastupdated
