SourceName,DestName
policyid,policyid
customerno,customerno
policyquotationdate,policyquotationdate
policyeffectivedate,policyeffectivedate
sex,gender
firstname,firstname
lastname,lastname
customerdob,customerdob
issuestate,issuestate
city,city
country,country
issueage,issueage
smokingclass,smokingclass
uwclass,uwclass
coverageunit,coverageunit
prodcode,productcode
yearlypremium,yearlypremium
policystatus,policystatus
sumassured,sumassured
nationalid,personalid
maritalstatus,Null
emailid,emailid
phoneno,phoneno
policyterm,policyterm
newrenew,newrenew
producer,producer
policyterminationdate,policyterminationdate
policyterminationreason,policyterminationreason
monthlypremium,monthlypremium
agentcommision,producercommision
premiumpaidtilldate,premiumpaidtilldate
commisionpaidtilldate,commisionpaidtilldate
beneficiaryname,beneficiaryname
beneficiaryrelationship,beneficiaryrelationship
beneficiarypct,beneficiarypct
lastupdated,lastupdated
